"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"167",64,55,1,-2.12246700266117,-0.298178951257975,-1.27030665427184,1.53299430380428,0,1,0,1,0,1
"168",63,55,1,-0.0804887919571501,-0.0971632367944108,-0.959903969431207,0.394997693453785,1,1,0,1,1,0
"169",62,55,1,0.354856816416295,-0.733029272342419,-0.725908099320577,1.0212831876459,1,1,0,1,0,1
"170",64,55,1,-2.41269740824346,-1.73400548314058,-1.27030665427184,0.407478156780037,0,1,1,0,0,1
"171",64,55,1,-2.41269740824346,-1.73400548314058,-1.27030665427184,0.424627700387082,0,1,1,0,0,1
"172",63,55,1,-0.20487325149242,0.292561107573724,0.0166706313366252,0.261058735111525,1,0,0,0,1,0
"173",63,54,1,1.12189431688379,-1.73400548314058,-0.300895192384944,0.0281971286722335,1,1,1,0,0,1
"174",64,55,1,0.956048370836766,-0.827383587294705,0.532416630764135,-0.567914769107089,0,0,0,0,1,0
"175",57,55,1,0.468875904323626,0.497679183556952,0.623149723256012,0.918868056105376,1,1,0,1,1,0
"176",64,55,1,0.189010870369268,-1.73400548314058,-0.599359312424012,1.23052739447697,0,1,1,0,0,1
"177",57,54,1,0.966413742464705,-0.527911196359191,0.183810538558503,0.629036235351107,0,1,0,1,1,0
"178",62,55,1,0.91458688432501,-0.0971632367944108,-0.988556524954957,0.224213021875715,1,1,0,1,1,0
"179",55,54,1,0.551798877347139,-0.954556794404306,0.229177084804442,0.285500082345761,1,1,1,0,0,1
"180",61,55,1,0.137184012229572,-0.0971632367944108,3.71762571982107,1.07267144228933,0,1,0,0,1,0
"181",68,54,1,-0.246334738004177,2.97960790295402,0.520478065962573,-1.82964377631209,1,0,0,0,0,0
"182",64,55,1,0.406683674555991,-0.0971632367944108,-0.496687655130573,-0.102837560097076,1,1,0,1,0,0
"183",62,54,1,-2.20538997568468,0.292561107573724,-1.27030665427184,0.0553191569121658,0,1,0,1,1,0
"184",63,54,1,0.0438956675781199,-0.179210467187702,-1.10555446001027,0.76618556376368,1,1,0,1,1,0
"185",64,54,1,1.09079820199998,0.358198891888357,0.138443992312565,-1.34927402150694,0,0,0,0,0,1
